problem_id,problem_description,problem_paper,problem_year,facts_id,fact_description,匹配_x,cases_id,case_description,匹配_y
1370,在政策试点的不同阶段，哪些逻辑与因素发挥着更加显著的作用？这反映着怎样的地方政府行为特点？,政策试点推广的多重逻辑——基于我国智慧城市试点的分析,2019,1370_1,政策试点推广被划分为试点起始阶段（2004-2007）、局部推广阶段（2008-2012）、全面推广阶段（2013-2014）,1,1370_3,贫困县参与智慧城市建设的现象，反映盲目跟风导致政策与实际脱节的典型案例,1
2130,如何有效发挥新乡贤在乡村治理现代化中的作用，特别是在合村并居改革引发的社会资本耗损背景下实现治理效能提升,合村并居背景下新乡贤嵌入乡村治理的路径研究,2024,2130_1,G镇合并后管辖范围由14个村2个社区缩减为6个村2个社区,1,2130_3,疫情防控期间三长群体协助完成外来人员排查和核酸提醒工作，化解居民抵触情绪实现高效治理,1
1975,如何解释基层政府政策执行行为选择的差异性？,外源压力、内生动力与基层政府政策执行行为选择——基于A市生态环境治理的案例比较分析,2023,1975_3,A市通过组建包含人大、环保、水利等多部门的纵向联动机制，将督察压力传递至村一级治理单元,1,1975_1,外源压力主导下的污染集中整治案例：2018年A市因临省P集团养殖废水污染问题，在中央环保督察组交办5件次问题后，通过组建跨层级专项领导小组、纵向贯穿市-县-乡-村四级行政资源、横向联动临市建立污染治理责任划分机制，最终实现P集团8月底前停产清零及全域生态修复。,1
1490,政府应从哪些方面着手动员新乡贤，才能更好地将其吸纳到乡村治理和乡村振兴工作中？,新乡贤公共服务供给行为的触发机制——基于湖南省石羊塘镇的扎根理论研究,2020,1490_3,2017年以来石羊塘镇共举办两届新乡贤评选活动，通过征集、考察、审查、村民投票等程序选出65名新乡贤,1,1490_2,石羊塘镇通过举办新乡贤评选活动、推动成立乡贤理事会、修建乡贤馆等政策工具，将政策导向转化为新乡贤供给行为的调节机制,1
629,如何准确区分健康服务利用中的机会不平等与结果不平等？传统基尼系数和集中指数无法识别造成医疗差异的不合理因素,我国健康服务利用的机会不平等研究——基于CHNS2009数据的实证分析,2014,629_5,我国基本医疗保险覆盖率超过95%，但城乡医保待遇水平存在显著差异，呈现制度碎片化特征,1,629_1,农民工群体医疗支出显著低于其他职业群体，尤其在农村地区，体现户籍制度导致的机会不平等直接效应,1
629,如何准确区分健康服务利用中的机会不平等与结果不平等？传统基尼系数和集中指数无法识别造成医疗差异的不合理因素,我国健康服务利用的机会不平等研究——基于CHNS2009数据的实证分析,2014,629_5,我国基本医疗保险覆盖率超过95%，但城乡医保待遇水平存在显著差异，呈现制度碎片化特征,1,629_2,共付率差异通过影响就医偏好产生间接效应：高报销群体更倾向门诊而非自我治疗，住院选择倾向更强，揭示报销政策对医疗行为的路径影响,1
210,地方政府创新的可持续性与扩散性矛盾，即本地延续与跨区域推广的机制差异,过去10年的中国地方政府改革——基于中国地方政府创新奖的评价,2011,210_1,中国地方政府创新奖创办于2000年，五届共收集1552个申请项目,1,210_4,福建省厦门市思明区'公共部门绩效评估'项目，兼具学习型与原创型创新特征,1
1130,广东省地方治理创新在治理类型分布、治理主体及其行政层级分布等方面是否存在显著的不平衡状态？,地方治理创新与地方治理现代化——以广东省为例,2017,1130_5,三届'粤治'评选中政府治理创新类案例占比最高，舆情引导类案例体现危机应对,1,1130_1,佛山市南海区建立数据统筹局并实施首席数据官制度，搭建政务数据统筹机制框架,1
1902,如何将上层政府下放的事权转化为基层政府治理效能，解决基层政府组织不敢执行或执行不规范的问题,数字政府驱动的基层政府组织结构变革研究——基于佛山市南海区政府的案例,2022,1902_4,南海区通过政务服务标准化改造形成“三单管理”体系，包含355项负面清单、710项准许清单、12项监管清单,1,1902_1,南海区通过建设316个行政服务中心（含1个区级、15个镇街级、300个社区服务中心），实现平均每3.4平方公里覆盖一个服务中心的实体网络布局,1
1634,为何基层政府在政策执行中采取前后不一致、缺乏激励预期的行为？,调适性联结：基层政府政策执行力演变的一个解释,2021,1634_3,2018年D县农发项目以82分获得省扶贫项目资金300万元奖励，扶贫外资中心主任晋升为副主任。,1,1634_3,2018年D县农发项目因多个子项目违规被责令整改，基层政府通过增添财务管理人员、调整资金用途、强制替换项目负责人等调适性措施进行治理，但最终出现政策资源无法下沉、合作社关系破裂等负面后果。,1
1634,为何基层政府在政策执行中采取前后不一致、缺乏激励预期的行为？,调适性联结：基层政府政策执行力演变的一个解释,2021,1634_3,2018年D县农发项目以82分获得省扶贫项目资金300万元奖励，扶贫外资中心主任晋升为副主任。,1,1634_1,中国西部D县农发项目案例中，基层政府为完成世行项目与县级扶贫任务的联结，成立世行外资中心办公室，通过县级-乡镇-村委三级动员体系组织合作社申报项目计划书，并借助第三方专家审查实现政策目标的调适性联结。,1
209,地方政府创新的动力持续性问题，特别是结构性动力与个人化动力的作用差异,过去10年的中国地方政府改革——基于中国地方政府创新奖的评价,2011,209_4,在对第四届/第五届入围项目官员的调查中，超过50%认为创新源于学习其他地方经验,1,209_5,浙江省绍兴市'政府办公室导入ISO9000质量管理体系'项目，体现技术手段的创造性应用,1
209,地方政府创新的动力持续性问题，特别是结构性动力与个人化动力的作用差异,过去10年的中国地方政府改革——基于中国地方政府创新奖的评价,2011,209_4,在对第四届/第五届入围项目官员的调查中，超过50%认为创新源于学习其他地方经验,1,209_3,四川省遂宁市市中区步云乡'直选乡长'项目，同样因法规冲突未能持续,1
1847,在缺乏上级政策明确导向情境下，县域政府如何在‘城镇化洼地’和‘收缩型城市’双重约束条件下实现‘人的城镇化’过程中‘理性扩张’与‘精明收缩’的平衡,领导力、主动作为与收缩型城市治理——县域政府推进“人的城镇化”的启示,2022,1847_3,绥化市被识别为东北收缩连绵带重要组成，2000-2020年多个周期研究显示其人口持续下降，基础设施与人口耦合协调度处于轻度失调状态,1,1847_2,青冈县通过县委书记与上级领导私人关系网络，突破教育资源配置竞争劣势，成功争取S大学附中分校落户，建立实验中学并实现重点本科升学率全市首位,1
1484,如何构建数字空间的政府形态，实现从工业文明下的业务驱动职能分化向数字文明下的需求驱动协同整合、数据驱动问题解决的转变？,“数字空间”政府及其研究纲领——第四次工业革命引致的政府形态变革,2020,1484_5,中国5G技术在2019年已实现地市级城市全覆盖，推动医疗、工业、物联网等领域升级。,1,1484_3,江苏省“不见面审批”模式通过数字化手段实现企业群众办事全流程线上办理，成为数字政府建设的创新样本。,1
1484,如何构建数字空间的政府形态，实现从工业文明下的业务驱动职能分化向数字文明下的需求驱动协同整合、数据驱动问题解决的转变？,“数字空间”政府及其研究纲领——第四次工业革命引致的政府形态变革,2020,1484_5,中国5G技术在2019年已实现地市级城市全覆盖，推动医疗、工业、物联网等领域升级。,1,1484_4,中国22个省级地方政府成立大数据管理局，如广东将其调整为省人民政府办公厅直属机构，贵州、重庆等直接设为省级政府正厅级部门，推动数据治理与智慧城市建设。,1
1484,如何构建数字空间的政府形态，实现从工业文明下的业务驱动职能分化向数字文明下的需求驱动协同整合、数据驱动问题解决的转变？,“数字空间”政府及其研究纲领——第四次工业革命引致的政府形态变革,2020,1484_5,中国5G技术在2019年已实现地市级城市全覆盖，推动医疗、工业、物联网等领域升级。,1,1484_5,广州市、沈阳市等在2015年前后成立市县一级大数据管理局，成为地方政府数据治理组织变革的实践载体。,1
